,dp,Simulation,Diversity
79,15,REvoSim_individuals_data_envw50_15dp_aj107.txt,11.312626042121458
80,15,REvoSim_individuals_data_envw50_15dp_aj1070.txt,4.131986188822098
81,15,REvoSim_individuals_data_envw50_15dp_aj1071.txt,9.224749086875072
82,15,REvoSim_individuals_data_envw50_15dp_aj1072.txt,20.487599853808803
83,15,REvoSim_individuals_data_envw50_15dp_aj1073.txt,8.411626252693683
84,15,REvoSim_individuals_data_envw50_15dp_aj1074.txt,8.603307247221412
85,15,REvoSim_individuals_data_envw50_15dp_aj1075.txt,6.4764890935227815
86,15,REvoSim_individuals_data_envw50_15dp_aj1076.txt,9.664500491046242
87,15,REvoSim_individuals_data_envw50_15dp_aj1077.txt,11.077784509955498
88,15,REvoSim_individuals_data_envw50_15dp_aj1078.txt,14.490744437207152
89,15,REvoSim_individuals_data_envw50_15dp_aj1079.txt,5.768358761557102
90,15,REvoSim_individuals_data_envw50_15dp_aj108.txt,4.984459410227852
91,15,REvoSim_individuals_data_envw50_15dp_aj1080.txt,9.609934273872819
92,15,REvoSim_individuals_data_envw50_15dp_aj1081.txt,7.620431564682581
93,15,REvoSim_individuals_data_envw50_15dp_aj1082.txt,10.452979481765635
94,15,REvoSim_individuals_data_envw50_15dp_aj1083.txt,2.5217036738822993
95,15,REvoSim_individuals_data_envw50_15dp_aj1084.txt,3.90845252500181
96,15,REvoSim_individuals_data_envw50_15dp_aj1085.txt,3.541441199553885
97,15,REvoSim_individuals_data_envw50_15dp_aj1086.txt,7.767816091954023
98,15,REvoSim_individuals_data_envw50_15dp_aj1087.txt,9.479576871470028
99,15,REvoSim_individuals_data_envw50_15dp_aj1088.txt,9.260312362239436
100,15,REvoSim_individuals_data_envw50_15dp_aj1089.txt,8.222644132507495
101,15,REvoSim_individuals_data_envw50_15dp_aj109.txt,3.2111013489069204
102,15,REvoSim_individuals_data_envw50_15dp_aj1090.txt,4.092555019564812
103,15,REvoSim_individuals_data_envw50_15dp_aj1091.txt,8.020519097906595
104,15,REvoSim_individuals_data_envw50_15dp_aj1092.txt,2.6146378202152136
105,15,REvoSim_individuals_data_envw50_15dp_aj1093.txt,7.293474070292067
106,15,REvoSim_individuals_data_envw50_15dp_aj1094.txt,4.414347083484292
107,15,REvoSim_individuals_data_envw50_15dp_aj1095.txt,5.757021520504403
108,15,REvoSim_individuals_data_envw50_15dp_aj1096.txt,7.6790047209806245
109,15,REvoSim_individuals_data_envw50_15dp_aj1097.txt,2.5597200317489768
110,15,REvoSim_individuals_data_envw50_15dp_aj1098.txt,0.0
